"Type","Classification","Flow_Substance","Flow_Rate_m3_day","Stabilized_Shut_In_Pressure_kPa","Source_Depth_mkb","Ground_Water_Base_mkb"
"Vent Flow","Non Serious","Gas",0,60,0,0
"Vent Flow","Serious","Gas",49.12,1059,464.5,160.7
"Vent Flow","Non Serious","Gas",9.32,831,617.5,187.4
"Vent Flow","Non Serious","Gas",0.71,34,471,615.1
"Vent Flow","Non Serious","Gas",19.79,282,232,281
"Vent Flow","Non Serious","Gas",230.6,561,580,351.6
"Vent Flow","Non Serious","Gas",0.03,10,1148,304.5
"Vent Flow","Non Serious","Gas",0.94,116,205,106.2
"Vent Flow","Non Serious","Gas",0.3,110,200,129.3
"Vent Flow","Non Serious","Gas",1,7,0,330.6
"Vent Flow","Non Serious","Gas",0,350,0,0
"Vent Flow","Serious","Gas",22,14,0,0
"Vent Flow","Non Serious","Gas",0,360,0,150
"Vent Flow","Non Serious","Gas",12,910,0,600
"Vent Flow","Serious","Gas",0,280,0,0
"Vent Flow","Serious","Gas",739,350,0,0
"Vent Flow","Serious","Unusable Water",0,1310,0,0
"Vent Flow","Non Serious","Gas",12,220,0,600
"Vent Flow","Non Serious","Gas",0,4,0,0
"Vent Flow","Non Serious","Gas",11,1500,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",0,300,0,374.5
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,25,0,0
"Vent Flow","Non Serious","Gas",190,83,0,0
"Vent Flow","Non Serious","Gas",0,1150,0,0
"Vent Flow","Serious","Gas",1,2100,0,0
"Vent Flow","Non Serious","Gas",0,60,0,0
"Vent Flow","Non Serious","Gas",1,28,0,0
"Vent Flow","Non Serious","Gas",0,90,0,0
"Vent Flow","Non Serious","Gas",0,138,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,275,0,0
"Vent Flow","Non Serious","Gas",6,224,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,143,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",1,14,0,0
"Vent Flow","Non Serious","Gas",0,70,0,0
"Vent Flow","Non Serious","Gas",0,305,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,193,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,140,0,0
"Vent Flow","Non Serious","Gas",37,896,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,538,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,67,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,14,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",71,500,0,0
"Vent Flow","Non Serious","Gas",68,420,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,21,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,482,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",17,116,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,50,0,0
"Vent Flow","Non Serious","Gas",1,145,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",47,1000,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",325,350,0,0
"Vent Flow","Non Serious","Gas",57,90,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Usable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",136,350,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Hydrocarbon Liquid",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",370,662,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,551,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,13,0,0
"Vent Flow","Non Serious","Gas",0,52,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",1088,172,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",0,149,0,0
"Vent Flow","Non Serious","Gas",3.07,21,200,252
"Vent Flow","Non Serious","Gas",0.01,143,200,288.4
"Vent Flow","Non Serious","Gas",0.19,2,0,75.9
"Vent Flow","Non Serious","Gas",1,2953,0,232.44
"Vent Flow","Non Serious","Gas",0.25,5,323,281.5
"Vent Flow","Serious","Gas",19,1496,320,516.1
"Vent Flow","Non Serious","Gas",0.3,975,774,199.3
"Vent Flow","Non Serious","Gas",0.14,842,1881.5,600
"Vent Flow","Serious","Gas",31.2,1678,302,147.2
"Vent Flow","Serious","Gas",8.2,2065,352,141.8
"Vent Flow","Serious","Non-Saline",0.07,100,185,153
"Vent Flow","Non Serious","Gas",15.75,1248,639,188.1
"Vent Flow","Non Serious","Gas",10.87,110,1615,600
"Vent Flow","Non Serious","Gas",1,880,0,0
"Vent Flow","Non Serious","Gas",3.52,400,349,442.01
"Vent Flow","Serious","Gas",546.7,258,250,502.8
"Vent Flow","Serious","Gas",546.7,258,250,502.8
"Vent Flow","Non Serious","Not Converted",1,34,0,0
"Vent Flow","Non Serious","Gas",1,2,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",4,5,0,0
"Vent Flow","Non Serious","Gas",4.67,197,240,220.1
"Vent Flow","Non Serious","Gas",0.71,159,95,388.3
"Vent Flow","Non Serious","Gas",5,90,0,283
"Vent Flow","Non Serious","Gas",4.7,855,463,279.7
"Vent Flow","Serious","Non-Saline",118,285,321,321.45
"Vent Flow","Non Serious","Gas",12.4,710,572,340
"Vent Flow","Non Serious","Gas",3.24,2218,1940,591.31
"Vent Flow","Non Serious","Gas",1.41,410,601,599.9
"Vent Flow","Serious","Gas",2.8,700,4,412
"Vent Flow/Gas Migration","Serious","Gas",0.5,293,259,144.3
"Vent Flow","Serious","Crude Oil",0.01,200,640,600
"Vent Flow","Serious","Gas",121,182,1,240.2
"Vent Flow","Non Serious","Gas",0,2220,0,0
"Vent Flow","Non Serious","Gas",1,200,0,0
"Vent Flow","Non Serious","Gas",6,210,0,0
"Vent Flow","Serious","Not Converted",1,280,0,0
"Vent Flow","Non Serious","Gas",1,350,0,0
"Vent Flow","Non Serious","Gas",54,33,0,0
"Vent Flow","Non Serious","Not Converted",3,205,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3,0,0,0
"Vent Flow","Non Serious","Gas",55.67,1669,209,335.7
"Vent Flow","Non Serious","Gas",0.87,28,504,222.1
"Vent Flow","Non Serious","Gas",0.57,2,0,95.8
"Vent Flow","Non Serious","Gas",0.2,226,655,402.35
"Vent Flow","Serious","Saline",0.1,220,605,600
"Vent Flow","Non Serious","Gas",30.96,159,378,68.4
"Vent Flow","Non Serious","Gas",1,250,323,255.2
"Vent Flow","Serious","Gas",152,34,0,0
"Vent Flow","Non Serious","Gas",68,207,0,0
"Vent Flow","Non Serious","Gas",0,30,0,0
"Vent Flow","Non Serious","Gas",0,30,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",12,180,0,0
"Vent Flow","Non Serious","Gas",5,35,0,0
"Vent Flow","Non Serious","Gas",0,1007,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Serious","Usable Water",114,703,0,0
"Vent Flow","Non Serious","Gas",3.71,46,245,600
"Vent Flow","Serious","Gas",6.09,2420,1256,574.9
"Vent Flow","Serious","Gas",55.5,1143,575,253.5
"Vent Flow","Non Serious","Gas",0.01,105,454,477.61
"Vent Flow","Serious","Gas",115.9,1094,20,309.4
"Vent Flow","Non Serious","Gas",110,1420,2623,539
"Vent Flow","Serious","Gas",30.58,468,1229.5,315.8
"Vent Flow","Serious","Gas",20,255,300,566
"Vent Flow","Serious","Gas",368,1103,200,180
"Vent Flow","Serious","Gas",153,1201,0,0
"Vent Flow","Non Serious","Gas",0,517,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,36,0,0
"Vent Flow","Serious","Gas",36,1300,0,0
"Vent Flow","Non Serious","Gas",4,38,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3.4,312,351,192.9
"Vent Flow","Serious","Gas",126.58,2060,141,600
"Vent Flow","Non Serious","Gas",0.16,7,0,136.8
"Vent Flow","Non Serious","Gas",0.1,136,0,108.62
"Vent Flow","Non Serious","Gas",0.01,5,0,119.5
"Vent Flow","Non Serious","Gas",21.18,234,0,127.33
"Vent Flow","Non Serious","Gas",12.5,380,407,431.8
"Vent Flow","Non Serious","Gas",1.33,882,0,174.3
"Vent Flow","Non Serious","Gas",1.26,531,194,171
"Vent Flow","Serious","Gas",346,546,520,600
"Vent Flow","Serious","Crude Oil",0.15,91,260,600
"Vent Flow","Non Serious","Gas",0.41,56,261,482.62
"Vent Flow","Non Serious","Gas",4.61,190,310,66
"Vent Flow","Non Serious","Gas",0.1,52,347,399.77
"Vent Flow","Non Serious","Gas",36,228,0,0
"Vent Flow","Serious","Gas",1.61,255,495,204
"Vent Flow","Non Serious","Gas",2.3,1,216,185.5
"Vent Flow","Serious","Gas",1243,194,0,0
"Vent Flow","Non Serious","Gas",1,160,0,0
"Vent Flow","Serious","Gas",1,10,0,0
"Vent Flow","Serious","Gas",2342,424,0,0
"Vent Flow","Non Serious","Gas",40,457,0,0
"Vent Flow","Non Serious","Gas",0,0,0,95.2
"Vent Flow","Non Serious","Gas",9,1100,0,0
"Vent Flow","Non Serious","Gas",26,335,240,531.6
"Vent Flow","Non Serious","Gas",0.5,186,386,308.3
"Vent Flow/Gas Migration","Serious","Gas",0.8,1000,367,275.8
"Vent Flow","Serious","Gas",0.05,200,169,44.86
"Vent Flow","Non Serious","Gas",0.25,165,0,285.6
"Vent Flow","Non Serious","Gas",2.53,115,591,191.4
"Vent Flow","Non Serious","Gas",1.17,147,405,142.9
"Vent Flow","Non Serious","Gas",0.03,171,0,326.03
"Vent Flow","Non Serious","Gas",5.6,414,188,205.1
"Vent Flow","Serious","Saline",0.01,117,685,180.5
"Vent Flow","Non Serious","Gas",1.98,183,504,193.6
"Vent Flow","Non Serious","Gas",1,83,199,600
"Vent Flow","Non Serious","Gas",5,133,434,253
"Vent Flow","Non Serious","Gas",15,110,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",78,241,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,1241,236,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Hydrocarbon Liquid",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Hydrocarbon Liquid",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",118,1896,350,0
"Gas Migration","Non Serious","Gas",0,7000,181,82.47
"Vent Flow","Serious","Gas",8,0,0.4,450.8
"Vent Flow","Non Serious","Gas",0.76,954,318,313.45
"Vent Flow","Non Serious","Gas",0,420,0,0
"Vent Flow","Serious","Gas",8000,1800,2190,600
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",2,310,0,0
"Vent Flow","Non Serious","Gas",3,500,0,0
"Vent Flow","Serious","Gas",31,151,0,300
"Vent Flow","Serious","Gas",25,124,0,0
"Vent Flow","Non Serious","Gas",160,150,0,0
"Vent Flow","Non Serious","Not Converted",0,13,0,0
"Vent Flow","Serious","Gas",0,241,0,0
"Vent Flow","Serious","Gas",289,820,0,272
"Vent Flow","Non Serious","Gas",1,179,0,0
"Vent Flow","Serious","Gas",12,100,0,300
"Vent Flow","Serious","Gas",13,172,0,0
"Vent Flow","Non Serious","Gas",3,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",2,517,0,0
"Vent Flow","Non Serious","Gas",38,0,650,377.5
"Vent Flow","Serious","Gas",0.85,300,295,74.6
"Vent Flow","Serious","Gas",206,440,40,290.63
"Vent Flow","Serious","Gas",2200,475,234.5,316
"Vent Flow","Non Serious","Gas",0,700,0,0
"Vent Flow","Non Serious","Gas",0,5,0,0
"Vent Flow","Non Serious","Gas",1,14,0,0
"Vent Flow","Non Serious","Gas",6,1400,0,0
"Vent Flow","Non Serious","Gas",0,150,0,0
"Vent Flow","Non Serious","Gas",0,1241,0,198.4
"Vent Flow","Non Serious","Gas",0,700,0,0
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Not Converted",0,15,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",35.08,848,906,479.4
"Vent Flow","Non Serious","Gas",0.86,3,0,153.8
"Vent Flow","Serious","Gas",0.1,38,400,415
"Vent Flow","Non Serious","Gas",1.44,1900,425,298.6
"Vent Flow/Gas Migration","Serious","Gas",49,1640,7.5,303.9
"Vent Flow","Serious","Usable Water",0.25,550,224,355
"Vent Flow","Serious","Gas",42.9,200,258,394.95
"Vent Flow","Serious","Gas",1000,120,660.6,350
"Vent Flow","Serious","Unusable Water",0,250,0,0
"Vent Flow","Non Serious","Gas",4,67,0,0
"Vent Flow","Non Serious","Gas",25,594,0,0
"Vent Flow","Non Serious","Gas",13,828,381,32.91
"Vent Flow","Non Serious","Gas",0,0,242,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Usable Water",0,1186,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",2.42,15,0,365.9
"Vent Flow","Serious","Saline",0.52,1041,0,122.43
"Vent Flow","Non Serious","Gas",0,145,0,0
"Vent Flow","Non Serious","Gas",1,30,0,0
"Vent Flow","Non Serious","Gas",0,140,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Usable Water",0,10,0,0
"Vent Flow","Non Serious","Usable Water",0,1200,0,0
"Vent Flow","Non Serious","Usable Water",0,30,0,0
"Vent Flow","Non Serious","Gas",25,220,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Usable Water",0,550,0,0
"Vent Flow","Non Serious","Usable Water",0,20,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",0,2,0,0
"Vent Flow","Non Serious","Gas",1,800,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",0.2,5,390,388.5
"Vent Flow","Serious","Gas",22,1105,345,182.1
"Vent Flow/Gas Migration","Serious","Gas",1.44,85,355,135.9
"Vent Flow","Serious","Gas",3.06,1610,228,199.2
"Vent Flow","Serious","Gas",6.85,110,210,291.9
"Vent Flow","Non Serious","Gas",158.57,255,188.5,329
"Vent Flow","Serious","Non-Saline",0.01,300,828,600
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",25,725,0.2,220
"Vent Flow","Non Serious","Gas",1,215,0,0
"Vent Flow","Non Serious","Gas",1,100,0,0
"Vent Flow","Non Serious","Gas",85,300,0,0
"Vent Flow","Serious","Hydrocarbon Liquid",2,415,375,0
"Vent Flow","Non Serious","Gas",0,700,0,91.5
"Vent Flow","Non Serious","Gas",1.38,40,526,376
"Vent Flow","Serious","Saline",0.01,120,855,600
"Vent Flow","Serious","Gas",300,100,5.4,183.6
"Vent Flow","Serious","Gas",3.81,308,309,196.3
"Vent Flow","Serious","Saline",0.01,190,273,630.4
"Vent Flow","Serious","Gas",315,172,26,114
"Vent Flow","Serious","Gas",50,250,220,237
"Vent Flow","Non Serious","Gas",0,210,0,0
"Vent Flow","Serious","Gas",327,1310,372,175
"Vent Flow","Serious","Gas",27,250,366.3,0
"Vent Flow","Non Serious","Gas",8,1069,350,547.69
"Vent Flow","Serious","Gas",202,1742,0,0
"Vent Flow","Non Serious","Gas",3,50,0,0
"Vent Flow","Non Serious","Gas",1,110,0,0
"Vent Flow","Non Serious","Gas",12,210,0,0
"Vent Flow","Non Serious","Gas",1,55,0,0
"Vent Flow","Non Serious","Gas",3,0,0,0
"Vent Flow","Non Serious","Gas",6,140,0,0
"Vent Flow","Non Serious","Gas",6.48,26,0,194.6
"Vent Flow","Non Serious","Gas",3.34,458,225,218.8
"Vent Flow","Serious","Gas",29.21,826,1597.1,66.44
"Vent Flow","Non Serious","Gas",1.4,196,350,192.7
"Vent Flow","Non Serious","Gas",2.8,678,0,286.7
"Vent Flow","Non Serious","Gas",1,100,480,498.3
"Vent Flow","Serious","Gas",0.17,792,168,50.49
"Vent Flow/Gas Migration","Serious","Gas",2.2,9,492,232.1
"Vent Flow","Non Serious","Gas",4.62,104,547,307
"Vent Flow","Non Serious","Gas",3,64,300,435.8
"Vent Flow","Serious","Saline",0.01,190,273,630.4
"Vent Flow","Non Serious","Gas",87.36,136,242.5,268
"Vent Flow","Non Serious","Gas",1,85,0,191.7
"Vent Flow","Serious","Gas",0,2350,0,0
"Vent Flow","Non Serious","Gas",7,24,0,0
"Vent Flow","Non Serious","Gas",0,1950,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0.01,7,0,150.7
"Vent Flow","Non Serious","Gas",0.1,145,1222,567.9
"Vent Flow","Non Serious","Gas",7.2,2171,217,302.3
"Vent Flow","Non Serious","Gas",8.6,266,232,73.8
"Vent Flow","Non Serious","Gas",13.3,562,202,191.1
"Vent Flow","Non Serious","Gas",1.5,331,255,506.6
"Vent Flow","Serious","Gas",2.3,852,340,225.9
"Vent Flow","Non Serious","Gas",3.53,59,447,217.9
"Vent Flow","Non Serious","Gas",2,135,326,275
"Vent Flow","Serious","Gas",310,725,2200,600
"Vent Flow","Non Serious","Gas",39.4,98,805,487.2
"Vent Flow","Serious","Gas",986,2034,400,190.49
"Vent Flow","Serious","Gas",955.8,748,190,182
"Vent Flow","Serious","Gas",316,523,342,184.2
"Vent Flow","Non Serious","Gas",4,80,150,258
"Vent Flow","Serious","Not Converted",2,560,0,0
"Vent Flow","Non Serious","Gas",141,170,0,0
"Vent Flow","Non Serious","Gas",6,138,0,0
"Vent Flow","Serious","Gas",0.3,35,620.1,207
"Vent Flow","Serious","Gas",37,83,0,0
"Vent Flow","Non Serious","Gas",1,115,0,196.9
"Vent Flow","Non Serious","Gas",0,35,0,0
"Vent Flow","Non Serious","Gas",3,1766,0,189
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0.58,198,122,104
"Vent Flow","Non Serious","Gas",1,100,169,205.81
"Vent Flow","Non Serious","Gas",0.15,71,0,269.9
"Vent Flow","Serious","Usable Water",3.84,613,490,633.99
"Vent Flow","Non Serious","Gas",2.83,67,352,361.5
"Vent Flow","Non Serious","Gas",40,300,1870,373.1
"Vent Flow","Serious","Gas",538.8,540,350,278.2
"Vent Flow","Non Serious","Gas",10.57,306,293,206
"Vent Flow","Serious","Gas",5.6,1541,315,123.85
"Vent Flow","Serious","Gas",116,9360,22,757.6
"Vent Flow","Non Serious","Gas",0.01,42,255,492.2
"Vent Flow","Non Serious","Gas",1,50,255,600
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",2,10,0,0
"Vent Flow","Non Serious","Gas",0,207,0,0
"Vent Flow","Non Serious","Gas",0,3,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,3,0,0
"Vent Flow","Non Serious","Gas",31,422,0,0
"Vent Flow","Non Serious","Gas",0,70,0,0
"Vent Flow","Non Serious","Gas",0,30,0,0
"Vent Flow","Non Serious","Gas",0,640,0,0
"Vent Flow","Non Serious","Gas",0,420,0,0
"Vent Flow","Non Serious","Gas",2,5,0,0
"Vent Flow","Non Serious","Gas",0,1,0,0
"Vent Flow","Non Serious","Gas",0,8,0,0
"Vent Flow","Non Serious","Gas",0,85,0,0
"Vent Flow","Non Serious","Gas",14,535,0,0
"Vent Flow","Non Serious","Gas",0,104,0,0
"Vent Flow","Non Serious","Gas",0,1,0,0
"Vent Flow","Non Serious","Gas",20,301,0,0
"Vent Flow","Non Serious","Not Converted",40,991,0,0
"Vent Flow","Non Serious","Gas",0,1200,0,0
"Vent Flow","Non Serious","Gas",0,104,0,0
"Vent Flow","Non Serious","Gas",0,1655,0,0
"Vent Flow","Non Serious","Gas",0,1241,0,0
"Vent Flow","Non Serious","Gas",173,1800,0,192
"Vent Flow","Non Serious","Gas",7,596,367,267.77
"Vent Flow","Non Serious","Gas",0.15,50,814,421.8
"Vent Flow","Non Serious","Gas",0.51,119,504,116
"Vent Flow","Non Serious","Gas",0.01,0,0,92
"Vent Flow","Non Serious","Gas",0.03,16,613,766.18
"Vent Flow","Non Serious","Gas",6.31,161,205,209
"Vent Flow","Non Serious","Gas",0.39,261,605,379.3
"Vent Flow","Non Serious","Gas",8.4,241,182,192.4
"Vent Flow","Serious","Crude Oil",1.32,1300,356.5,58.33
"Vent Flow","Serious","Usable Water",4.9,154,320,600
"Vent Flow","Non Serious","Gas",2.8,354,193.5,177.3
"Vent Flow","Serious","Gas",27.55,2307,600,226
"Vent Flow","Serious","Non-Saline",0.02,849,225,365.1
"Vent Flow","Serious","Gas",2.8,276,321,271.71
"Vent Flow","Non Serious","Gas",1,40,787,599.9
"Vent Flow","Serious","Gas",10.3,2178,200,207.3
"Vent Flow","Serious","Gas",1366,170,1135,600
"Vent Flow","Serious","Gas",400,300,218,165
"Vent Flow","Non Serious","Gas",1.9,13,225,71.6
"Vent Flow","Serious","Gas",429,344,330,349
"Vent Flow","Serious","Gas",178.6,220,806,366
